"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"1","China","14862564000000","11218281029298","10423.3789","1425887.3370"
"2","Japan","5040108000000","4936211827875","40661.8733","123951.6920"
"3","India","2667686000000","2259642382872","1882.3994","1417173.1730"
"4","South Korea","1638258000000","1411245589977","31616.9524","51815.8100"
"5","Indonesia","1059903000000","932259177621","3847.1791","275501.3390"
"6","Iran","938052000000","425402616011","10593.4044","88550.5700"
"7","Saudi Arabia","703368000000","639617050945","19318.6157","36408.8200"
"8","Taiwan","669250000000","0","28009.8340","23893.3940"
"9","Thailand","500293000000","407026319505","6977.8762","71697.0300"
"10","Israel","407101000000","317747579750","45041.7219","9038.3090"
"11","Philippines","361489000000","304905638877","3128.1767","115559.0090"
"12","United Arab Emirates","358869000000","348743627620","38011.2379","9441.1290"
"13","Singapore","345286000000","296946278392","57781.7888","5975.6890"
"14","Hong Kong","344879000000","320912235499","46052.2389","7488.8650"
"15","Vietnam","342941000000","205276171343","3492.7384","98186.8560"
"16","Malaysia","337280000000","296531469473","9938.0577","33938.2210"
"17","Bangladesh","323057000000","220836732893","1887.1654","171186.3720"
"18","Pakistan","299296000000","282506007859","1269.1452","235824.8620"
"19","Iraq","169488000000","160021001474","3809.0510","44496.1220"
"20","Qatar","144411000000","152451923077","53582.3610","2695.1220"
"21","Kuwait","105949000000","110346129191","24818.9628","4268.8730"
"22","Myanmar","81257000000","65697616068","1499.7793","54179.3060"
"23","Sri Lanka","80677000000","81321970966","3695.3312","21832.1430"
"24","Oman","72056000000","63170959402","15745.4781","4576.2980"
"25","Uzbekistan","59893000000","67778902435","1729.6293","34627.6520"
"26","Turkmenistan","53187000000","36179885714","8270.7048","6430.7700"
"27","Jordan","43759000000","38654647887","3877.3266","11285.8690"
"28","Bahrain","34723000000","32179073596","23585.2613","1472.2330"
"29","Nepal","33982000000","20914004957","1112.4285","30547.5800"
"30","Lebanon","27320000000","50457653265","4976.5572","5489.7390"
"31","Macau","25586000000","45311080521","36805.4916","695.1680"
"32","Cambodia","25192000000","20016747858","1502.3997","16767.8420"
"33","Afghanistan","20136000000","20235063330","489.5843","41128.7710"
"34","Yemen","18840000000","25374086438","559.1066","33696.6140"
"35","Laos","18524000000","15805707090","2460.1981","7529.4750"
"36","Mongolia","13313000000","11160356685","3917.4709","3398.3660"
"37","Brunei","12003000000","11400266878","26732.6203","449.0020"
"38","Tajikistan","8134000000","6951679338","817.2585","9952.7870"
"39","Kyrgyzstan","7792000000","6551291140","1175.1535","6630.6230"
"40","Maldives","3736000000","4224207488","7132.6703","523.7870"
"41","Bhutan","2416000000","2212642587","3087.7175","782.4550"
"42","Timor-Leste","1902000000","2703285752","1418.0315","1341.2960"
"43","Palestine","0","13397100000","2551.7936","5250.0720"
"44","North Korea","0","16788601831","643.9961","26069.4160"
"45","Syria","0","22163075121","1001.7096","22125.2490"
