"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"1","Germany","3843335000000","3477796274497","46099.8229","83369.8430"
"2","United Kingdom","2758870000000","2647898654635","40866.7380","67508.9360"
"3","France","2621961000000","2465453975282","40570.9083","64626.6280"
"4","Italy","1891057000000","1858913163928","32031.4687","59037.4740"
"5","Russia","1483379000000","1246015056927","10250.4667","144713.3140"
"6","Spain","1280459000000","1237255019654","26923.7991","47558.6300"
"7","Netherlands","913134000000","777227541581","51988.9132","17564.0140"
"8","Switzerland","751743000000","668851296244","86007.1401","8740.4720"
"9","Turkey","719919000000","863711710542","8435.7691","85341.2410"
"10","Poland","596633000000","471402266588","14969.2859","39857.1450"
"11","Sweden","541486999999.9999","514475856961","51328.9590","10549.3470"
"12","Belgium","521445000000.0001","467955267357","44736.4560","11655.9300"
"13","Austria","432912000000","390799991147","48426.2357","8939.6170"
"14","Ireland","425549000000","304819019837","84718.2492","5023.1090"
"15","Norway","362198000000","371068933176","66650.1175","5434.3190"
"16","Denmark","356085000000","306899653410","60535.3962","5882.2610"
"17","Finland","271619000000.0000","238502900312","49022.1080","5540.7450"
"18","Romania","249512000000","186690976699","12691.8262","19659.2670"
"19","Czech Republic","245339000000","195305084919","23379.0097","10493.9860"
"20","Portugal","228356000000","204836597909","22233.3757","10270.8650"
"21","Greece","188684000000","192690813127","18168.9482","10384.9710"
"22","Kazakhstan","171082000000","135005203998","8819.5699","19397.9980"
"23","Hungary","155808000000","125816640421","15631.9038","9967.3080"
"24","Ukraine","155300000000","93270354852","3911.6674","39701.7390"
"25","Slovakia","105088000000","89768598023","18621.2236","5643.4530"
"26","Luxembourg","73294000000","58631324559","113178.0624","647.5990"
"27","Bulgaria","69995000000","53239643485","10320.7734","6781.9530"
"28","Belarus","61312000000","47408111179","6430.2355","9534.9540"
"29","Croatia","57204000000","51231002611","14193.2801","4030.3580"
"30","Lithuania","56502000000","42773029835","20545.7709","2750.0550"
"31","Slovenia","53547000000","44708598649","25259.8776","2119.8440"
"32","Serbia","53335000000","38299871897","7385.7228","7221.3650"
"33","Azerbaijan","42693000000","37847204069","4121.7122","10358.0740"
"34","Latvia","33619000000","27572698482","18166.0400","1850.6510"
"35","Estonia","30626000000","23337920560","23095.4510","1326.0620"
"36","Cyprus","24672000000","20046234311","19714.1323","1251.4880"
"37","Iceland","21625000000","20269659972","57991.5741","372.8990"
"38","Bosnia and Herzegovina","19951000000","16909904149","6170.0447","3233.5260"
"39","Georgia","15846000000","14332728707","4231.9366","3744.3850"
"40","Albania","15161000000","11863866791","5334.0210","2842.3210"
"41","Malta","14905000000","10998577038","27949.3555","533.2860"
"42","Armenia","12641000000","10572299425","4546.3553","2780.4690"
"43","North Macedonia","12138000000","10745782586","5797.6719","2093.5990"
"44","Moldova","11530000000","6772647958","3522.7663","3272.9960"
"45","Montenegro","4777000000","4373958354","7617.8235","627.0820"
"46","Andorra","2885000000","2858406626","36142.0124","79.8240"
"47","San Marino","1543000000","1590761265","45840.7605","33.6600"
"48","Kosovo","0","6714465857","4045.5560","1659.7140"
"49","Liechtenstein","0","6193677543","157491.7371","39.3270"
"50","Monaco","0","6468000877","177356.1347","36.4690"
