"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"1","United States","20893750000000","18624475000000","61762.8627","338289.8570"
"2","Canada","1645423000000","1529760492201","42789.0209","38454.3270"
"3","Mexico","1087117000000","1076914464477","8526.1320","127504.1250"
"4","Puerto Rico","103138000000","105034500000","31711.2834","3252.4070"
"5","Dominican Republic","78923000000","71583585170","7028.6097","11228.8210"
"6","Guatemala","77603000000","68762920570","4348.9913","17843.9080"
"7","Costa Rica","62144000000","57435510668","11994.9915","5180.8290"
"8","Panama","53977000000","55187800000","12243.6222","4408.5810"
"9","El Salvador","24639000000","26797469656","3888.4905","6336.3920"
"10","Honduras","23828000000","21516915353","2283.9375","10432.8600"
"11","Trinidad and Tobago","21393000000","24086176564","13972.8185","1531.0440"
"12","Haiti","14508000000","7647347306","1252.3095","11584.9960"
"13","Jamaica","13967000000","14056901075","4939.9143","2827.3770"
"14","Nicaragua","12620000000","13230214875","1816.2476","6948.3920"
"15","Bahamas","9908000000","11261800000","24166.7968","409.9840"
"16","Barbados","4677000000","4552793288","16606.6007","281.6350"
"17","Aruba","2497000000","2667039106","23458.1239","106.4450"
"18","Saint Lucia","1617000000","1397066906","8990.4758","179.8570"
"19","Belize","1586000000","1741100000","3913.4211","405.2720"
"20","Antigua and Barbuda","1370000000","1460157909","14611.3072","93.7630"
"21","Grenada","1043000000.0000","1016208148","8314.8647","125.4380"
"22","Saint Kitts and Nevis","981000000","909854620","20584.5941","47.6570"
"23","Saint Vincent and the Grenadines","872000000","765318745","8388.8098","103.9480"
"24","Dominica","544000000","581484032","7478.9997","72.7370"
"25","Bermuda","0","6127341000","95465.2406","64.1840"
"26","British Virgin Islands","0","971237110","31024.9835","31.3050"
"27","Cayman Islands","0","3844080626","55949.7078","68.7060"
"28","Cuba","0","89688700000","7999.2126","11212.1910"
"29","Greenland","0","2282927882","40430.1329","56.4660"
"30","Montserrat","0","62051375","14134.7096","4.3900"
"31","Curacao","0","3121449966","16328.7350","191.1630"
"32","Sint Maarten","0","1072067039","24268.6370","44.1750"
"33","Anguilla","0","337520470","21285.2664","15.8570"
"34","Turks and Caicos Islands","0","917550492","20076.3734","45.7030"
