"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"1","Australia","1357317000000","1304463104965","51850.6928","26177.4130"
"2","New Zealand","210698000000","187517098554","40633.8086","5185.2880"
"3","Papua New Guinea","24665000000","19694115731","2431.8177","10142.6190"
"4","Fiji","4574000000","4671118364","4919.5174","929.7660"
"5","Solomon Islands","1546000000","1133967215","2134.5542","724.2730"
"6","Vanuatu","994000000","837519790","3042.1742","326.7400"
"7","Samoa","807000000","822233281","3628.8908","222.3820"
"8","Tonga","494000000","401460313","4622.9576","106.8580"
"9","Micronesia","412000000","329895643","3608.8434","114.1640"
"10","Palau","258000000","310248000","14289.6705","18.0550"
"11","Marshall Islands","244000000","183000000","5869.7587","41.5690"
"12","Kiribati","182000000","173655146","1386.8569","131.2320"
"13","Nauru","114000000","103469824","8999.0527","12.6680"
"14","Tuvalu","55000000","36697185","4862.0934","11.3120"
"15","Cook Islands","0","290194195","17059.2085","17.0110"
"16","French Polynesia","0","5417934152","17689.5385","306.2790"
"17","New Caledonia","0","9445714851","32577.0473","289.9500"
