"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"1","Brazil","1448550000000","1795925681016","6727.6321","215313.4980"
"2","Argentina","389064000000","545866164479","8548.9185","45510.3180"
"3","Colombia","270415000000.0000","282462551367","5212.9174","51874.0240"
"4","Chile","252501000000","247045730477","12880.2509","19603.7330"
"5","Peru","205233000000","192209529586","6027.4738","34049.5880"
"6","Ecuador","99291000000","98010212618","5515.8602","18001"
"7","Uruguay","53561000000","52419718459","15648.3271","3422.7940"
"8","Venezuela","47255000000","291376437340","1669.6879","28301.6960"
"9","Bolivia","36897000000","33806395465","3018.3793","12224.1100"
"10","Paraguay","35432000000","27165101909","5225.3853","6780.7440"
"11","Guyana","5471000000","3436626633","6764.9612","808.7260"
"12","Suriname","2884000000","3278445033","4666.3646","618.0400"
